1,2012-07-11,198.72,USD
2,2000-03-02,95.94,GBP
3,2002-03-23,480.31,GBP
4,2000-08-08,666.10,EUR
5,1999-09-07,113.65,USD
6,2016-10-04,92.56,EUR
7,2002-01-26,723.26,USD
8,2000-08-26,742.15,EUR
9,2008-01-06,827.57,GBP
10,2000-10-10,757.42,GBP
11,2015-10-18,65.99,EUR
12,2000-02-03,730.63,EUR
13,2010-12-28,550.37,EUR
14,2022-04-03,155.39,GBP
15,2011-11-03,735.34,GBP
16,2006-02-09,136.07,GBP
17,2023-08-16,838.43,EUR
18,2014-09-15,128.70,GBP
19,2000-10-25,740.72,EUR
20,2007-03-29,651.66,GBP
21,2021-11-07,561.45,USD
22,2018-11-20,768.50,USD
23,2014-03-22,393.91,EUR
24,2006-01-24,917.18,EUR
25,2001-09-03,753.90,USD
26,2021-07-23,649.95,USD
27,2018-02-18,378.40,GBP
28,2001-04-14,155.75,GBP
29,2016-10-03,217.21,USD
30,2004-10-26,641.89,USD
31,1999-10-05,876.84,EUR
32,2023-01-13,752.07,USD
33,2013-04-04,912.33,USD
34,2020-04-12,761.08,USD
35,2001-01-31,123.67,USD
36,2019-04-08,914.62,GBP
37,2000-11-30,80.52,GBP
38,2011-11-21,849.20,GBP
39,2017-12-28,374.02,GBP
40,2015-04-22,877.41,USD
41,1999-01-05,606.15,USD
42,2005-07-16,801.74,EUR
43,2020-02-23,78.27,EUR
44,2010-11-23,170.52,GBP
45,2009-02-08,522.53,USD
46,2020-04-09,106.61,EUR
47,2018-02-24,527.44,GBP
48,2010-06-19,180.47,USD
49,2022-09-06,365.93,GBP
50,2016-08-18,471.24,GBP
51,2015-01-25,303.45,EUR
52,2001-09-21,231.97,EUR
53,2008-05-28,864.13,EUR
54,1998-07-17,636.65,GBP
55,2006-03-07,345.38,USD
56,1998-03-09,191.94,USD
57,2021-12-24,484.98,GBP
58,2023-05-28,418.61,EUR
59,2021-02-14,810.49,GBP
60,2000-06-03,599.53,GBP
61,2023-02-02,515.29,USD
62,2015-11-24,517.58,EUR
63,2019-08-08,832.37,USD
64,2000-10-16,250.83,EUR
65,2007-05-14,578.53,EUR
66,2002-12-07,446.71,GBP
67,2000-05-11,135.19,EUR
68,2023-06-05,199.26,GBP
69,2002-07-21,477.59,GBP
70,1999-02-22,93.16,EUR
71,2014-11-17,195.70,GBP
72,2009-04-25,456.33,GBP
73,2014-05-03,622.47,EUR
74,2003-03-05,640.72,USD
75,2019-07-20,635.17,USD
76,2001-11-08,189.89,EUR
77,2013-05-15,971.39,USD
78,2019-06-21,908.09,EUR
79,2021-02-28,31.27,EUR
80,2021-09-11,475.15,EUR
81,2022-05-14,36.44,GBP
82,2011-05-16,843.68,EUR
83,2009-09-18,680.47,USD
84,2005-06-29,467.21,EUR
85,2021-11-21,710.84,GBP
86,2012-10-15,835.19,EUR
87,2006-10-03,314.77,USD
88,2008-03-03,263.03,GBP
89,2020-02-08,467.04,GBP
90,1999-04-20,37.61,USD
91,2019-03-09,340.70,EUR
92,2013-06-11,587.19,GBP
93,2013-09-05,478.93,EUR
94,2007-11-22,134.89,EUR
95,2019-02-01,258.82,USD
96,2007-03-03,633.62,GBP
97,1998-02-01,629.45,GBP
98,2013-06-07,843.96,EUR
99,2003-05-19,510.26,GBP
100,2006-12-10,627.56,EUR
101,2017-06-19,834.41,USD
102,2001-11-22,947.11,USD
103,2018-10-11,527.10,GBP
104,2001-10-23,951.00,EUR
105,2005-08-17,167.51,EUR
106,2004-10-12,775.38,USD
107,2004-07-22,802.60,GBP
108,2019-04-12,862.49,USD
109,2004-12-29,720.13,GBP
110,2003-11-17,29.04,EUR
111,2002-08-11,691.20,GBP
112,2004-03-31,569.60,EUR
113,2007-06-20,37.69,USD
114,2007-07-19,384.99,GBP
115,2008-10-15,769.65,USD
116,2009-08-20,714.49,USD
117,2003-11-18,80.82,GBP
118,2013-11-14,601.52,GBP
119,2021-03-07,552.32,GBP
120,2003-11-13,698.07,EUR
121,2021-06-26,670.18,EUR
122,2017-09-29,241.00,GBP
123,1998-03-06,197.34,EUR
124,2004-05-08,621.61,GBP
125,2003-05-26,730.38,EUR
126,2012-08-15,895.34,GBP
127,2021-10-22,729.02,USD
128,2002-10-05,735.39,EUR
129,2009-02-23,251.74,USD
130,1999-11-23,129.11,GBP
131,2018-04-14,737.26,EUR
132,2000-11-04,581.97,USD
133,2020-09-04,795.47,GBP
134,2006-12-12,908.97,USD
135,2018-04-17,667.05,GBP
136,2019-06-12,666.52,EUR
137,2021-06-21,341.25,GBP
138,2007-02-02,587.58,EUR
139,2016-09-09,160.41,USD
140,2017-10-31,415.16,EUR
141,2008-10-17,562.43,EUR
142,2007-07-17,878.49,USD
143,2003-06-28,203.43,GBP
144,2014-06-05,188.40,USD
145,2004-02-27,614.07,EUR
146,2002-03-23,523.00,USD
147,2005-04-21,876.34,EUR
148,2005-03-30,926.79,USD
149,2021-02-16,530.28,USD
150,2016-11-24,257.56,USD
151,2012-04-15,121.84,GBP
152,2014-06-01,26.53,USD
153,2022-11-08,602.18,USD
154,1998-10-24,504.76,USD
155,2021-03-18,818.79,USD
156,2020-12-23,85.26,EUR
157,2008-04-02,138.33,EUR
158,2009-11-30,357.41,EUR
159,2006-02-22,355.47,EUR
160,2016-12-10,887.01,USD
161,2016-03-18,196.77,GBP
162,2021-02-03,748.89,USD
163,2012-09-02,118.25,USD
164,2000-07-31,903.04,EUR
165,2017-01-29,95.91,USD
166,1998-10-03,832.57,EUR
167,2009-09-08,110.76,GBP
168,2007-12-23,88.32,USD
169,2003-06-17,595.77,EUR
170,2013-03-19,725.91,USD
171,2010-01-06,815.87,EUR
172,1999-12-09,691.63,GBP
173,2008-09-11,144.46,EUR
174,2009-09-30,67.03,EUR
175,2007-01-19,409.93,GBP
176,2011-09-07,697.10,EUR
177,2011-01-03,585.17,GBP
178,2005-12-24,355.57,USD
179,1998-10-25,329.26,EUR
180,1998-09-09,25.16,GBP
181,2020-09-06,723.27,EUR
182,2021-01-25,623.27,EUR
183,2018-01-20,140.30,GBP
184,2017-05-21,861.50,USD
185,2022-06-28,516.22,GBP
186,2011-10-22,902.43,EUR
187,2008-04-19,450.18,EUR
188,2004-04-08,531.44,USD
189,2000-06-10,171.15,EUR
190,2001-03-04,820.78,GBP
191,2009-06-19,565.58,EUR
192,2000-06-26,111.73,GBP
193,2015-02-01,664.14,GBP
194,2010-08-25,785.83,EUR
195,2011-02-23,60.29,USD
196,2006-04-25,207.48,USD
197,2017-12-31,5.74,USD
198,2014-05-03,432.13,GBP
199,2012-07-06,321.40,EUR
200,2011-11-20,286.56,USD
201,2006-03-17,2.40,USD
202,2015-02-13,110.95,USD
203,2010-07-06,659.98,GBP
204,2007-01-06,326.29,GBP
205,1998-03-23,120.08,USD
206,2002-01-10,189.56,USD
207,1999-11-14,517.39,EUR
208,2011-06-11,399.77,GBP
209,2008-06-11,111.73,GBP
210,2021-09-27,984.74,EUR
211,2015-06-22,428.47,GBP
212,2020-03-02,196.90,USD
213,2004-06-29,58.39,GBP
214,2021-01-04,823.25,USD
215,2020-09-04,183.59,GBP
216,2020-08-16,746.11,EUR
217,2008-04-25,112.53,EUR
218,1999-11-17,175.44,GBP
219,2014-03-07,138.51,USD
220,2018-04-01,733.07,EUR
221,1998-11-05,821.80,GBP
222,2008-12-20,642.32,USD
223,1998-02-24,599.93,EUR
224,2020-07-24,702.49,EUR
225,2021-08-05,87.57,GBP
226,2019-04-04,331.55,EUR
227,2009-11-29,308.73,GBP
228,2007-03-17,303.43,GBP
229,2018-08-26,648.42,USD
230,2001-06-11,628.84,GBP
231,2010-11-21,62.27,GBP
232,2006-11-23,102.54,GBP
233,2004-08-12,435.86,USD
234,2011-08-28,815.15,GBP
235,2003-12-27,17.34,USD
236,2000-09-20,637.74,USD
237,2002-06-19,908.26,EUR
238,2019-12-18,382.23,GBP
239,2021-03-03,375.26,USD
240,2018-11-25,612.24,EUR
241,2022-08-19,262.16,USD
242,2001-11-07,620.89,EUR
243,2010-12-28,602.58,EUR
